2026-07-01 17:12:07.328 | WARNING  | app.embeddings.encoder:__init__:16 - sentence-transformers not available; using zero vectors
2026-07-01 17:13:29.219 | WARNING  | app.embeddings.encoder:__init__:16 - sentence-transformers not available; using zero vectors
2026-07-01 17:13:29.221 | WARNING  | app.embeddings.encoder:__init__:16 - sentence-transformers not available; using zero vectors
2026-07-01 17:13:29.237 | WARNING  | app.embeddings.encoder:__init__:16 - sentence-transformers not available; using zero vectors
2026-07-01 17:18:39.687 | WARNING  | app.embeddings.encoder:__init__:16 - sentence-transformers not available; using zero vectors
2026-07-01 17:18:39.696 | WARNING  | app.evaluation.judge:llm_as_judge:51 - Judge parsing failed
2026-07-01 17:19:58.763 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:19:58.770 | WARNING  | app.evaluation.judge:llm_as_judge:51 - Judge parsing failed
2026-07-01 17:20:35.985 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:22:07.947 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:27:21.939 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:28:54.016 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:28:54.264 | INFO     | app.store.vector_store:upsert_documents:71 - Upserted 3 documents
2026-07-01 17:32:50.147 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:32:50.465 | INFO     | app.store.vector_store:upsert_documents:71 - Upserted 3 documents
2026-07-01 17:35:24.782 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:35:25.016 | INFO     | app.store.vector_store:upsert_documents:71 - Upserted 3 documents
2026-07-01 17:39:04.028 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:39:04.273 | INFO     | app.store.vector_store:upsert_documents:71 - Upserted 3 documents
2026-07-01 17:41:17.617 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:41:17.861 | INFO     | app.store.vector_store:upsert_documents:71 - Upserted 3 documents
2026-07-01 17:47:10.538 | WARNING  | app.embeddings.encoder:__init__:17 - sentence-transformers not available; using deterministic fallback embeddings
2026-07-01 17:47:10.541 | WARNING  | app.evaluation.judge:llm_as_judge:51 - Judge parsing failed
